元町,LE BOIS,フレンチ,横浜市中区石川町１丁目２１ 穂苅ビル １階,045-263-9393,,https://www.instagram.com/lebois_yokohama,https://www.instagram.com/lebois_yokohama/,お手頃カジュアルフレンチ,個室あり、全席禁煙,24席,"8,000～20,000",月:11:30-14:30    水木金土日:11:30-14;30/17:00-23:00  　火休,●,●,●ディナー,,,,,確認済,,,,
元町,ビー玉スタンド,居酒屋,横浜市中区元町3-141-6,045-263-8853,,https://bidama-stand.jimdofree.com,https://www.instagram.com/b_dama.standtenpura/,カジュアル天ぷら和食系居酒屋,全席禁煙,20席,"２,000～10,000",火水木土日:11:30-14;30/17:00-23:00  金:17:00-23;00　月休,●,●ディナー,,,,,,確認済,,,,
元町,春鶯亭ひら,和食,横浜市中区元町１丁目５５,045-662-2215 ,,https://shunoutei.com/menu,https://www.instagram.com/shunouteihira/,カジュアル和食　店内は狭い,個室あり、全席禁煙,16席,"3,000～２0,000",平土日祝12:00-15:00/17:00-22:30  月休　　　　　　　　　　　　　,●,●,●ディナー,●ディナー,,,,確認済,,,,
元町,Trattoria NOTO,イタリアン,横浜市中区元町４丁目１６１−８ M&K元町 1F,045-264-8099,motomachi@trattorianoto.com,https://trattorianoto.com,https://www.instagram.com/accounts/login/,カジュアルイタリアン・テラス席犬同伴OK,全席禁煙,2４席,"3,000～10,000",平:11:30-15:00/17:00-23:00  　　　　　土日:11:00-16:00/17:00-23:00   祝:11:00-15:00/17:00-23:00   火休,●,●,●ディナー,,,,,確認済,,,,
元町,En Route,イタリアンピザ,横浜市中区石川町1-18-2 花こビル1F,045-319-6966,,https://enroute.gorp.jp,,カジュアル石窯イタリアンピザ　即日●　元町駅近2分,個室あり、分席禁煙,26席,"¥3,000〜¥6,000",11:30～00:00 月休,●,●●ディナー,,,,,,確認済,,,,
元町,ル プティ クラージュ,フレンチ,横浜市中区元町５丁目２０９−１０１,045-681-2665,,https://lepetitcourageux.com,,カジュアルお手頃フレンチ　車椅子OK　石川町駅5分,全席禁煙,20席,"8,000～20,000",11:30-15:00/18:00-22:30  月休　　　　　　　　　　　　　,●,●●ディナー,●ディナー,,,,,確認済,,,,
元町,濱新,和食・うなぎ,横浜市中区元町3－143,045-681-1808,,https://www.hamashin.org,,高級創業百年の老舗うなぎ店、落ち着いた接待にも,全席禁煙,１５席,"¥５,000〜¥10,000",平:11:30-15;30/17:00-21:30  土日祝:11:30-21:00　火休,,●,●ディナー,,,,,確認済,,,,
元町,インドゥ アーユルヴェーダ 南インド料理,インド料理,横浜市中区元町１丁目３６−２ 原ビル, 045-211-4130,,,https://www.instagram.com/indu_yokohamamotomachi/,本格南インド料理とワイン自然派が楽しめるお店ベジタリアンメニューあり,全席禁煙,23席,"¥3,000〜¥6,000",月火金土日祝:11:00-22:00                水木:11:00-15:00/17:00-23:00  ,●,●,,,,,,確認済,,,,
元町,ぱおむ元町,カフェ,横浜市中区元町１丁目４２,045-319-4677,,,https://www.instagram.com/paomu.motomachi,元町中華街徒歩3分こじんまりとした洋食ランチカフェ,全席禁煙,16席,"～￥3,000",9:00～18:00 ,●,,,,,,,,,,,
元町,ビストロ　エルエラ,フレンチ,横浜市中区元町3-132 ジョイ元町１F,045-212-3581,,,https://www.instagram.com/bistro_elella/,ビストロ、フレンチ、ワインバー落ち着いた雰囲気ソファーあり,全席禁煙,２７席,"2,000～8,000",11:00～15:00/17:30～21:30　　　　　　　　　　　　　　　火定休月デイナー休,●,●●ディナー,●ディナー,,,,,,,,,
元町,カフェ　ルアーヴル,カフェ,横浜市中区元町1-38-2 Le Noir 横濱元町４F,045-884-1263,,https://cafelehavre.owst.jp, https://www.instagram.com/cafe_le_havre.mtmc,隠れ家レストラン/ペット可,全席禁煙,３２席,"～2,000",11:00～19:00,●,,,,,,,,,,,
中華街,蓮香園　新館,台湾料理,横浜市中区山下町190-2　中華街,045-680-0386,, https://renkouen.com/,,落ち着いた空間、席が広い、ソファー席あり、車椅子で入店可,分煙,１０６席,"2,000～12,000",11:00～22:00,●,●●ディナー,●ディナー,,,,,,,,,
中華街,東北人家新館,中華,横浜市中区山下町214,045-641-7595,,https://tohoku-jinka.com,,野菜料理にこだわる、魚料理にこだわる、健康・美容メニューあり、ベジタリアンメニューあり,全席禁煙,,"2,000～５,000",11:00～23:30,●,●●ディナー,,,,,,,,,,
中華街,華正樓 本店,中華・和食,横浜市中区山下町164,045-681-2911,,https://www.kaseiro.com,,老舗高級中華、野菜、魚の中華料理には定評、個室完備,全面禁煙,600席,"¥4,000〜¥20,000",11:30-22:00 水休,,●,●●ディナー,●ディナー,,,,8月19日,,,,
中華街,ローズホテル/鉄板焼 浜,鉄板焼き,横浜市中区 山下町77,045-681-2993,,https://www.rosehotelyokohama.com/restaurant,,ローズホテル内の高級フレンチと中華の鉄板焼き,全席禁煙,10席数席,"¥20,000〜¥30,000",17:00-22:00,,,,●ディナー,●ディナー,,,確認済,,,,
中華街,ローズホテル/ミリーラフォーレ,フレンチ,横浜市中区 山下町77,045-681-2916,,https://www.rosehotelyokohama.com/restaurant,,ローズホテル内のカジュアルフレンチレストラン,半個室あり、全面禁煙,150席,"¥6,000〜¥20,000",7:00-22:00,,●,●●ディナー,●ディナー,,,,確認済,,,,
中華街,ローズホテル/重慶飯店新館,中華料理（四川）,横浜市中区 山下町77,045-681-6885,,https://www.rosehotelyokohama.com/restaurant,,本格四川料理重慶飯店落ち着いた雰囲気バリアフリー,個室あり、全面禁煙,120席,"¥3,000〜¥35,000",平：11:30-15:00/17:00-22:00  土日祝11:30-22:00,,●,●●ディナー,●ディナー,●ディナー,,,確認済,,,,
中華街,株式会社東源（梅蘭金蘭閣）,中華料理（上海）,横浜市中区山下町220-4 東源ビル 4F,梅蘭閣045-263-8378,,https://bairan-tougen.jp/company/,,焼きそばが有名な上海中華料理カジュアル、子ずれも安心,個室あり、全面禁煙,100席,"¥2,000〜¥１2,000",平：11:30-15:30/17:00-22:00  木休,●,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
中華街,萬珍樓 本店,中華料理（広東）,横浜市中区山下町153,045-681-4004,,https://www.manchinro.com/,,創業130年以上老舗高級豪華な内装と本格広東料理、接待向け,個室あり、全面禁煙,480席,"¥2,000〜¥12,000",平：11:00-15:00/17:00-22:00  土日祝:11:00-22:00 月休,●,●●ディナー,●●ディナー,●ディナー,,,,8月17日,,,,
中華街,萬珍樓點心舗,中華料理（広東）,横浜市中区山下町156,045-664-4004,,https://www.manchinro.com/tenshimpo,,落ち着いた雰囲気、リーズナブル白粥と彩り点心の朝食セット,個室あり、全面禁煙（喫煙席場所あり）,270席,"¥2,000〜",平：11:00-15:00/17:00-22:00  土日祝:8:00-22:00 月休,●,●●ディナー,,,,,,8月17日,,,,
中華街,重慶飯店 本館,中華料理（四川）,横浜市中区山下町164,045-641-8288,,https://www.jukeihanten.com/,https://www.instagram.com/jukeihanten/,本格四川料理、辛さと香りが特徴、落ち着いた雰囲気観光客に人気,個室あり、全面禁煙（喫煙席場所あり）,2２0席,"¥3,000〜¥35,000",月火水木：11:30-15:00/17:00-21:00  金：11:30-15:00/17:00-22:00           土日祝:11:30-21:00 ,,●,●●ディナー,●ディナー,●ディナー,,,8月17日,,,,
中華街,謝甜記 貮号店,中華粥・軽食,横浜市中区山下町189-9,045-664-4305,,http://www.shatenki-nigouten.co.jp,https://www.instagram.com/shatenki/,朝7:00から営業、中華粥専門店、魚料理も得意、行列必至,個室あり、全面禁煙,50席,"¥8￥１,000〜¥2,000",平：8:30-21:00   　　　　　　　　　　　　　　　　土日：8:00-21:00    水休      ,●,,,,,,,8月17日,,,,
中華街,金香楼,中華料理・コース料理,横浜市中区山下町200-1,045-228-1688,,https://www.kinkoro.com/,,中国式宮殿のような内装、豪華なコース料理が人気,個室あり、全面禁煙（喫煙席場所あり）,３00席,"¥3,000〜¥10,000",11:00-22:30,●,●●ディナー,●ディナー,,,,,確認済,,,,
中華街,龍華楼 新館,中華料理（庶民的）,横浜市中区山下町152,045-681-6078,,https://b268002.gorp.jp,,リーズナブルな価格、四川料理、セットメニュー多数,個室あり、全面禁煙,100席,"¥800〜¥2,000",11:00-22:30,●,,,,,,,確認済,,,,
中華街,福満園 本店,中華料理（四川・湖南）,横浜市中区山下町157-8,045-662-5185,,https://fukumanen.jp,,激辛四川料理、麻婆豆腐が人気、量が多い,個室あり、全面禁煙,80席,"¥1,000〜¥2,500",11:00-23:30,●,●●ディナー,,,,,,確認済,,,,
中華街,山東 1号店,中華料理（山東）,横浜市中区山下町150-3,045-212-1198,,https://www.santon.co.jp,https://www.instagram.com/santon_yokohama/,水餃子が名物、現地風の味付け、野菜魚ヘルシー中華、観光客に人気,全席禁煙,80席,"¥1,000〜¥2,500",月火水木：11:00-23:00  　　　　　　　　　　　　　　　　金土日祝：11:00-24:00      ,●,●●ディナー,,,,,,確認済,,,,
中華街,北京飯店,中華料理（北京）,横浜市中区山下町79-5,045-681-3535,,https://pekinghanten.com,,北京ダック・フカヒレなど本格北京料理、野菜料理にも定評,半個室あり、全面禁煙,100席,"¥4,000〜¥14,000",平・土：11:00-23:00    日祝休,●,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
中華街,RouRoucafe,カフェ,横浜市中区山下町130-12,045-650-5644,,https://cafe.rourou.com/,,中華街にある隠れ家カフェ,全席禁煙,20席,"¥1,000〜¥5,000",12:00-18:00,●,●,,,,,,,,,,
中華街,状元樓 横浜中華街本店,中華料理（上海）,横浜市中区山下町191,045-641-8888,,https://www.jogen.co.jp/,https://www.instagram.com/jogenrou_yokohama/,クラシックな内装、上海料理をベースに点心も充実ベジタリアンメニュー有,個室あり、全面禁煙,300席,"¥2,000〜¥25,000",平：11:30-16:00/17:00-22:00  　　　　　　　　　　　　　　　　土日祝：11:30-22:00      ,●,●●ディナー,●●ディナー,●ディナー,●ディナー,,,確認済,,,,
中華街,慶福楼 本店,中華料理（福建）,横浜市中区山下町150,045-681-1137,,https://www.keifukurou.com/,https://www.instagram.com/keifukurou/,フカヒレ姿煮が有名、団体対応も可能,個室あり、分煙,45席,"¥2,000〜¥10,000",11:00-22:00,●,●●ディナー,●●ディナー,,,,,確認済,,,,
中華街,中華菜館 同發 本館,中華料理（広東）,横浜市中区山下町148,045-681-7273, homepage@douhatsu.co.jp,http://www.douhatsu.co.jp,https://www.instagram.com/douhatsu_official/,1892年創業、焼き物料理が名物、観光客に人気車椅子OK,個室あり、全面禁煙,90席,"¥2,500〜¥20,000",平：11:30-15:00/17:00-21:30  　　　　　　　　　　　　　　　　土日祝：11:30-21:30      水休,●,●,●●ディナー,●ディナー,,,,8月17日,,,,
中華街,鵬天閣,点心専門店,横浜市中区山下町192-15,045-681-9016,houten_info@houtenkaku.com,https://houtenkaku.com/company,,食べ歩き人気店、小籠包・焼き小籠包が名物、景色がきれい,個室あり、全面禁煙,50席,"¥500〜¥1,500（レストラン2,000～￥20,000）",11:00-22:00,●,●●ディナー,●●ディナー,●ディナー,,,,8月19日,,,,
中華街,景徳鎮新館,中華料理（四川）,横浜市中区山下町２００－５,045-641-5285,,https://www.keitokuchin.info,,四川料理中華街人気NO1,全席禁煙,50席,"¥3,000〜¥10,000",11:00-21:30    火休,●,●●ディナー,●●ディナー,,,,,確認済,,,,
中華街,金陵 本店,中華料理（広東・焼き物）,横浜市中区山下町132,045-681-2967,k_i_n_r_y_o@yahoo.co.jp,https://sites.google.com/view/kinryo/,,焼き物と豚バラチャーシューが有名、テイクアウトもあり,喫煙可,113席,"¥800〜¥2,000",月火水木金祝:17:00-22:45　　　　　　　　　　　　　　土：14:00-22:45           日祝後日休　　,●,,,,,,,8月17日,,,,
中華街,謝朋酒樓,中華料理（広東）,横浜市中区山下町188,045-662-9113,,https://syahosyuro.com,,大型店、点心・ランチメニューも豊富、広い客席,全席禁煙,95席,"¥1,000〜¥10,000",平：11:00-23:00  　　　　　　　　　　　　　　　　土日祝：10:30-23:00      ,●,●●ディナー,●●ディナー,,,,,確認済,,,,
中華街,京華樓 本館,中華料理（四川）,横浜市中区山下町138,045-211-2866,u-info@kyokarou.com,https://www.kyokarou.com/,,本場四川の激辛麻婆豆腐、ランチもあり,個室あり、全面禁煙,170席,"¥1,000〜¥10,000",平：11:30-21:30　　　　　　　　　　　　　　　　土日祝：11:00-21:30      ,●,●●ディナー,●●ディナー,,,,,8月17日,,,,
中華街,悟空茶荘,中国茶・茶館,横浜市中区山下町130,045-681-7776,,https://www.goku-teahouse.com/,https://www.instagram.com/gokuchaso/,本格中国茶専門店、茶器も販売、観光客向け,全席禁煙,95席,"¥800〜¥2,000",平：10:30-18:00　　　　　　　　　　　　　　　　土日：10:30-18:30      ,●,,,,,,,確認済,,,,
中華街,ボブフロウ,ドイツ料理,横浜市中区山下町25-1上田ビル１F,045-662-1106,,https://hofbrau.owst.jp/,,すぐそこは山下公園♪デートや観光にもぴったり,全席禁煙,40席,"¥2,000〜¥8,000",平：11:00-15:00/17:00-23:00  　　　　　　　　　　　　　　　　土日祝：11:00-23:00    ,●,●●ディナー,,,,,,,,,,
中華街,SALONE2007,イタリアン,横浜市中区山下町36-1 B1F,050-5589-4129,,https://www.salone2007.com,,横浜人気NO1リストランテイタリアン,個室あり、全面禁煙,38席,"¥8,000〜¥20,000",12:00-15:00/18:00-22:00                              ,,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
中華街,THE WHARF HOUSE 山下公園,カフェ・ダイニング,横浜市中区山下町279,045-228-7737,,https://wharfhouse-yokohama.zetton.co.jp,,オープンテラス、海を望む開放的空間、軽食・アルコール提供あり,全面禁煙,200席,"¥1,000〜¥６,000",＜CAFE＞9:00-17:00                                 ＜GRILL＞17:00-22:00,●,●,,,,,,確認済,,,,
中華街,ホテルニューグランド/ノ・ルマンディ,フレンチ,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/restaurant/sg3/,,歴史あるホテルバー、落ち着いた大人向空間、夜景がきれい,個室あり、全面禁煙,116席,"¥4,000〜¥４0,000",7:00-10:30/11:45-15:30/17:30-21:00,,●,●●ディナー,●ディナー,●ディナー,,,確認済,,,,
中華街,ホテルニューグランド/イル・ジャルディーノ,イタリアン,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/restaurant/sg3/,,日本発祥のナポリタンなどの洋食、ベジタブルビーガン料理有,全面禁煙,49席,"¥３,000〜¥20,000",11:30-16:30/17:00-21:00,,●,●●ディナー,●ディナー,,,,確認済,,,,
中華街,ホテルニューグランド/熊魚庵,和食（京料理）,横浜市中区山下町10,045₋663₋6321,,https://www.yugyoan.co.jp/shop/yokohama,,京料理懐石、魚料理中心、夜景がきれい,個室あり、全面禁煙,86席,"¥６,000〜¥３0,000",7:00-10:00/11:30-14:30/17:00-21:00,,●,●●ディナー,●ディナー,●ディナー,,,確認済,,,,
中華街,ホテルニューグランド/シーガーディアンⅡ,バー,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/restaurant/sg3,,歴史あるホテルバー、落ち着いた大人向空間,全面禁煙,49席,"¥3,000〜¥10,000",17:00-23:00,,●,●,,,,,確認済,,,,
中華街,ザ・テラス横浜マリンタワー,イタリアン,横浜市中区山下町14-1YOKOHAMA MARINE TOWER 4F,050-3091-9510,,https://www.styles.jp/restaurant/theterrace,,本格イタリアンコスパ良し、魚・野菜中心メニュー,個室あり、全面禁煙,48席,"¥2,000〜¥10,000",11:30-15:00/17:00-22:00     月火休,,●,●●ディナー,,,,,確認済,,,,
日本大通り,象の鼻カフェ,カフェ・軽食,横浜市中区海岸通1丁目,045-680-5677,,https://www.zounohana.com/,https://www.instagram.com/zounohana_cafe/,アートと融合した観光カフェ、海沿いテラスあり,全面禁煙,60席,"¥800〜¥1,500",10:00-18:00　年中無休,●,,,,,,,確認済,,,,
日本大通り,CAFE de la PRESSE,フレンチカフェ,横浜市中区日本大通11 情報文化センター2F,045-222-3348,,https://cafedelapresse.jp,https://www.instagram.com/cafe.de.la.presse,新聞社跡地のクラシック空間、フランス軽食が人気,全面禁煙,54席,"¥1,500〜¥5,000",10:00-20:00　月火休,●,●,,,,,,確認済,,,,
日本大通り,ありあけ本館 ハーバーズムーン,カフェ・スイーツ,横浜市中区日本大通36,045-210-9778,,https://harboursmoon.com/,https://www.instagram.com/harboursmoon/,"横浜土産「ハーバー」のカフェ併設店、スイーツ充実,オープンテラス有",全面禁煙,40席,"¥1,500〜¥4,000",平:11:00-18:00　ランチ：11:00-14:00　土日祝:11:00-18:30 年中無休,●,●,,,,,,確認済,,,,
日本大通り,アルテリーベ横浜本店,フレンチ・ヨーロッパ料理,横浜市中区日本大通11 横浜情報文化センター1F,045-210-9407,,https://www.alteliebe.co.jp/,,生演奏付き本格フレンチ、クラシックな空間生ライブ演奏あり,全面禁煙,80席,"¥７,000〜¥25,000",11:30-15:00/17:30-22:00　　　　　　　　 月火休,,,●●ディナー,●●ディナー,,,,確認済,,,,
日本大通り,荒井屋（万国橋店）,和食（牛鍋）,横浜市中区海岸通4₋23相模ビル１F,045‐226-5003 ,,https://www.araiya.co.jp,,横浜の老舗牛鍋店,個室あり、全面禁煙,60席,"¥10,000〜¥20,000",11:00-14:30/17:00-22:00  月休,,●,●●ディナー,●ディナー,,,,確認済,,,,
