area,name,category,address,phone,email,website,sns,description,cuisine_type,business_hours,price_rank,coupon_available,keywords
みなとみらい,SUP体験（スタンドアップパドル）,activity,横浜市中区新港周辺 運河エリア,090-3502-2701, supyokohama@gmail.com,https://yokohamasup-club.com,https://www.instagram.com/supyokohama/,運河での水上体験・初心者OK・外国人対応,,10:00～11:30/13:00～14:30,,,
みなとみらい,SKY DUCK 横浜,activity,東京都文京区後楽1-1-8,03-3215-0008,,https://www.skybus.jp,https://www.instagram.com/skybus_hinomaru_official/,水陸両用車グルーズ/2コース（昼・ナイトクルーズ）,,10：00/ 11：30 / 14：15 / 15：45平日10：00/10：45/11：30/ 13：45/ 14：30 / 15：15 / 16：00/16：45土日　水休,,,
桜木町,マリンルージュ ナイトクルーズ,activity,横浜市中区山下町 山下公園前,045-671-7719,,https://www.yokohama-cruising.jp/,https://www.instagram.com/yokohama.cruise/,ランチ・アフタヌーン・トワイライト・ディナー夜景観賞4種コース,,12:00/14:30/17:00/19:30,5,,"restaurant,cruise_dining"
山下公園・中華街,シーバス 横浜ベイクルーズ,rest,横浜市中区山下町 山下公園りんかい口,045-671-7719,,https://www.yokohama-cruising.jp/contents/seabass.html,https://www.instagram.com/yokohama.cruise/,みなとみらい〜横浜駅直通の水上バス・観光対応,,10:00～18:00,,,harbor_cruise
馬車道,濱進（Hamashin）,restaurant,横浜市金沢区金沢町103-6,045-781-7377,yakatabune@hamashin.co.jp,https://www.hamashin.co.jp/english/index.html,,金沢沖直送鮮魚＋Hayama牛コース、3船体制で快適クルーズ　屋形船,yakatabune,18:00～20:30,4,,"restaurant,cruise_dining,yakatabune"
馬車道,すずよし（Suzuyoshi）,restaurant,横浜市西区西戸部町3-297-10,045-231-1600,,http://suzuyoshi.jp/,,コタツ席、カラオケ付き、乗合＆貸切、演奏イベントあり　屋形船,yakatabune,18:00～20:30,4,,"restaurant,cruise_dining,yakatabune"
馬車道,横浜屋形船ピア・フォー,restaurant,横浜市神奈川区浦島町380,045-441-0404,info@pier4.net,http://www.yakatabune.jp,,掘りごたつ式、横浜地産野菜＋穴子天ぷら使用　屋形船,yakatabune,18:00～20:30,4,,"restaurant,cruise_dining,yakatabune"
馬車道,祝良屋（いわいや）,restaurant,横浜市内（出航地により異なる）,03-6435-6108,,https://yakatabune.anniversary-cruise.com/en/,,太鼓・忍者・折り紙などパフォーマンス体験　屋形船,yakatabune,18:00～20:30,4,,"restaurant,cruise_dining,yakatabune"
元町・山手,COFFEE ROASTERY MEGURO,restaurant,横浜市中区山下町３７−９,,,https://roasterymeguro.com,,カフェレストラン/モーニング・ランチ,cafe,9:00～20:00,1,,"restaurant,cafe restaurant,mornig,lunch"
元町・山手,エリゼ光,restaurant,横浜市中区山手町246,045-622-2014,,https://elysee-hikaru.com,https://www.instagram.com/elyseehikaru/,高級フレンチ一軒家レストラン、記念日向き,french,11:30～15:00 /17:30～22:30 　水休,4,,"restaurant,luxury,french,private room,anniversary"
元町・山手,pavlov,restaurant,横浜市中区山下町105,045-641-1266,,https://www.pavlov.jp/shop/,https://www.instagram.com/pavlov._official,洋風高級カフェ,cafe,11:00～19:00 月休,3,,"restaurant,luxury cafe"
元町・山手,kandy,restaurant,神奈川県横浜市中区元町3-143 ヒルサイド元町1F ,045-633-3301,,https://www.italian-tearoom-kandy.com,https://www.instagram.com/motoya.espresso.express/,カジュアルイタリアン,italian,11:00～15:00 /17:00～22:00 火水休,3,,"restaurant,casual italian"
元町・山手,マークガストロミー＆ワイン,restaurant,神奈川県 横浜市中区元町1丁目37‐10,045-680-0966,,https://r.goope.jp/marques,https://www.instagram.com/marquesgastronomyandwine/,高級フレンチ,french,月18:00～22:00  水木金:12:00-15:00/18:00-22:30 土日祝:12:00-15:00/18:00-22:00　火休,4,,"restaurant,premium french"
元町・山手,Rio’s Buongustaio（リオス ボングスタイオ,restaurant,神奈川県横浜市中区元町1-23-1 リバーサイド元町 1F,045-222-6101,,https://riosbuongustaio.ciao.jp,,カジュアルイタリアン,italian,平祝:12:00～14:30/17:30-22:00  土祝前日:12:00-14:30/17:30-22:30 土:12:00-14:30/17:30-22:30　火休,3,,"restaurant,casual italian"
元町・山手,スタージュエリー カフェ＆レストラン,restaurant,横浜市中区元町1-24-1,045-641-0650,,https://www.star-jewelry.com/shopinfo/motomachi.html,https://www.instagram.com/starjewelry_press/,カジュアルブランド直営カフェ、洗練された空間,grill,火水木:11:00-18:00  　　　　　　　金土日祝:11:00-19:00　月休,3,,"restaurant,weatern food"
元町・山手,La Royale,restaurant,横浜市中区新山下１－4－3　MMTビル　２F,045-264-8585,,https://larpyale-yokohama.owst.jp,,高級肉魚フレンチ,french,平土:11:30-15:00/17:30-22:00  　日祝:11:30-15:00/17:00-21:00　火休,4,,"restaurant,luxury french"
元町・山手,馬肉料理　小桜,restaurant,横浜市中区元町１-23-1　リバーサイド元町1F,045-264-4238,,https://baniku-kozakura.owst.jp,,高級和食系馬肉料理　美味しい　14席,meat,平土:11:30-15:00/17:00-22:00  　日:11:30-15:00 　月休,3,,"restaurant,japanese horse meat dishes"
元町・山手,あおぞら,restaurant,横浜市中区元町４−１６１,045-299-0573,,https://vaghat.wixsite.com/aozora/,,カジュアル肉魚洋食レストラン20席ぐらい,japanese,平土:11:30-15:00/17:00-22:00  　日:11:30-15:00 　月休,3,,"restaurant,casual weatern-style restaurant"
元町・山手,LE BOIS,restaurant,横浜市中区石川町１丁目２１ 穂苅ビル １階,045-263-9393,,https://www.instagram.com/lebois_yokohama,https://www.instagram.com/lebois_yokohama/,お手頃カジュアルフレンチ,french,月:11:30-14:30    水木金土日:11:30-14;30/17:00-23:00  　火休,3,,"restaurant,casual french"
元町・山手,ビー玉スタンド,restaurant,横浜市中区元町3-141-6,045-263-8853,,https://bidama-stand.jimdofree.com,https://www.instagram.com/b_dama.standtenpura/,カジュアル天ぷら和食系居酒屋,tenpura,火水木土日:11:30-14;30/17:00-23:00  金:17:00-23;00　月休,3,,"restaurant,casual japanese food tenpura"
元町・山手,春鶯亭ひら,restaurant,横浜市中区元町１丁目５５,045-662-2215,,https://shunoutei.com/menu,https://www.instagram.com/shunouteihira/,カジュアル和食,japanese,平土日祝12:00-15:00/17:00-22:30  月休,3,,"restaurant,casual japanese food "
元町・山手,Trattoria NOTO,restaurant,横浜市中区元町４丁目１６１−８ M&K元町 1F,045-264-8099,motomachi@trattorianoto.com,https://trattorianoto.com,https://www.instagram.com/accounts/login/,カジュアルイタリアン・テラス席犬同伴OK,italian,平:11:30-15:00/17:00-23:00  　　　　　土日:11:00-16:00/17:00-23:00   祝:11:00-15:00/17:00-23:00   火休,3,,"restaurant,casual italian,dogs allowed"
元町・山手,En Route,restaurant,横浜市中区石川町1-18-2 花こビル1F,045-319-6966,,https://enroute.gorp.jp,,カジュアル石窯イタリアンピザ　40席　即日●,italian,11:30～00:00 月休,3,,"restaurant,casual italian,stone oven_itlian pizza"
元町・山手,ル プティ クラージュ,restaurant,横浜市中区元町５丁目２０９−１０１,045-681-2665,,https://lepetitcourageux.com,,カジュアルお手頃フレンチ,french,11:30-15:00/18:00-22:30  月休,3,,"restaurant,casual french"
元町・山手,濱新,restaurant,横浜市中区元町3－143,045-681-1808,,https://www.hamashin.org,,高級創業百年の老舗うなぎ店、落ち着いた接待にも,ell food,平:11:30-15;30/17:00-21:30  土日祝:11:30-21:00　火休,3,,"restaurant,premium japanese ell food"
元町・山手,インドゥ アーユルヴェーダ 南インド料理,restaurant,横浜市中区元町１丁目３６−２ 原ビル, 045-211-4130,,,https://www.instagram.com/indu_yokohamamotomachi/,本格南インド料理とインドワイン・自然派ワインが楽しめるお店,indian,月火金土日祝:11:00-22:00                水木:11:00-15:00/17:00-23:00  ,2,,"restaurant,casual indian cuisine"
元町・山手,ぱおむ元町,restaurant,横浜市中区元町１丁目４２,045-319-4677,,,ぱおむ元町 (@paomu.motomachi) • Instagram photos and videos,洋食とカフェとケーキ,cafe,9:00～18:00,1,,"restaurant,casual,cafe,cake"
山下公園・中華街,Puella プエラ,restaurant,〒231-0023 神奈川県横浜市中区山下町２７ プロシード山下公園ザ・タワー B1F, 045-323-9833,,https://www.tablecheck.com/shops/puella-yokohama/reserve?utm_source=google,,お菓子・空間・世界観をひとつの体験として設計する パティスリー＆カフェブランドです,cafe,10:00-20:00,2,1,"restaurant,cafe,cake, bear, flower motif"
山下公園・中華街,華正樓 本店,restaurant,横浜市中区山下町164,045-681-2911,,https://www.kaseiro.com,,老舗高級中華、個室完備,chinese,11:30-22:00 水休,3,,"restaurant,long-established high-end chinese "
山下公園・中華街,ローズホテル/鉄板焼 浜,restaurant,横浜市中区 山下町77,045-681-2993,,https://www.rosehotelyokohama.com/restaurant,,ローズホテル内の高級フレンチと中華の鉄板焼き,french,17:00-22:00,5,,"restaurant,premium french,chinese steak"
山下公園・中華街,ローズホテル/ミリーラフォーレ,restaurant,横浜市中区 山下町77,045-681-2916,,https://www.rosehotelyokohama.com/restaurant,,ローズホテル内のカジュアルフレンチレストラン,french,7:00-22:00,5,,"restaurant,casual french"
山下公園・中華街,ローズホテル/重慶飯店新館,restaurant,横浜市中区 山下町77,045-681-6885,,https://www.rosehotelyokohama.com/restaurant,,ローズホテル内の本格四川料理重慶飯店（四川中華料理）,chinese,平：11:30-15:00/17:00-22:00  土日祝11:30-22:00,4,1,"restaurant,premium chinese shichuan cuisine"
山下公園・中華街,株式会社東源（梅蘭金蘭閣）,restaurant,横浜市中区山下町220-4 東源ビル 4F,045-263-8378,,https://bairan-tougen.jp/company/,,焼きそばが有名な上海中華料理カジュアル,chinese,平：11:30-15:30/17:00-22:00  木休,4,,"restaurant,casual chinese restaurant,fried noodles"
山下公園・中華街,萬珍樓 本店,restaurant,横浜市中区山下町153,045-681-4004,,https://www.manchinro.com/,,高級豪華な内装と本格広東料理、接待向け,chinese,平：11:00-15:00/17:00-22:00  土日祝:11:00-22:00 月休,4,,"restaurant,premium chinese cantone cuisine"
山下公園・中華街,萬珍樓點心舗,restaurant,横浜市中区山下町156,045-664-4004,,https://www.manchinro.com/tenshimpo,,リーズナブル白粥と彩り点心の朝食セット　広東,chinese,平：11:00-15:00/17:00-22:00  土日祝:8:00-22:00 月休,3,,"restaurant,chinese breakfast congee dish"
山下公園・中華街,重慶飯店 本館,restaurant,横浜市中区山下町164,045-641-8288,,https://www.jukeihanten.com/,https://www.instagram.com/jukeihanten/,本格四川料理、辛さと香りが特徴、観光客に人気　四川,chinese,月火水木：11:30-15:00/17:00-21:00  金：11:30-15:00/17:00-22:00           土日祝:11:30-21:00,4,,"restaurant,premium chinese shichuan cuisine restaurant,private_room"
山下公園・中華街,謝甜記 貮号店,restaurant,横浜市中区山下町189-9,045-664-4305,,http://www.shatenki-nigouten.co.jp,https://www.instagram.com/shatenki/,朝7:00から営業、中華粥専門店、行列必至　朝食,chinese,平：8:30-21:00   　　　　土日：8:00-21:00    水休,2,,"restaurant,chinese breakfast congee dish"
山下公園・中華街,金香楼,restaurant,横浜市中区山下町200-1,045-228-1688,,https://www.kinkoro.com/,,中国式宮殿のような内装、豪華なコース料理が人気,chinese,11:00-22:30,2,,"restaurant,chinese breakfast congee dish"
山下公園・中華街,龍華楼 新館,restaurant,横浜市中区山下町152,045-681-6078,,https://b268002.gorp.jp,,リーズナブルな価格、セットメニュー多数 庶民的,chinese,11:00-22:30,2,,"restaurant,casual chinese  restaurant "
山下公園・中華街,福満園 本店,restaurant,横浜市中区山下町157-8,045-662-5185,,https://fukumanen.jp,,激辛四川料理、麻婆豆腐が人気、量が多い　四川・湖南,chinese,11:00-23:30,2,,"restaurant,casual chinese sichuan cuisine  restaurant "
山下公園・中華街,山東 1号店,restaurant,横浜市中区山下町150-3,045-212-1198,,https://www.santon.co.jp,https://www.instagram.com/santon_yokohama/,水餃子が名物、現地風の味付け、観光客に人気　山東,chinese,月火水木：11:00-23:00  　　　　　金土日祝：11:00-24:00,2,,"restaurant,casual chinese shandong home cooking cuisene"
山下公園・中華街,北京飯店,restaurant,横浜市中区山下町79-5,045-681-3535,,https://pekinghanten.com,,北京ダック・フカヒレなど本格北京料理、観光バス歓迎,chinese,平・土：11:00-23:00    日祝休,3,,"restaurant,premium chinese beijing cuisine restaurant "
山下公園・中華街,RouRoucafe,restaurant,横浜市中区山下町130-12,045-650-5644,,https://cafe.rourou.com/,,中華街にある隠れ家カフェ,chinese,12:00-18:00,2,,"restaurant,cafe chinese"
山下公園・中華街,状元樓 横浜中華街本店,restaurant,横浜市中区山下町191,045-641-8888,,https://www.jogen.co.jp/,https://www.instagram.com/jogenrou_yokohama/,クラシックな内装、上海料理をベースに点心も充実,chinese,平：11:30-16:00/17:00-22:00  　　　　　土日祝：11:30-22:00,3,,"restaurant,casual chinese shanghai cuisene,crab cuisene"
山下公園・中華街,慶福楼 本店,restaurant,横浜市中区山下町150,045-681-1137,,https://www.keifukurou.com/,https://www.instagram.com/keifukurou/,フカヒレ姿煮が有名、団体対応も可能　福建,chinese,11:00-22:00,3,,"restaurant,casual fujian cuisene,shark fin cuisene"
山下公園・中華街,中華菜館 同發 本館,restaurant,横浜市中区山下町148,045-681-7273, homepage@douhatsu.co.jp,http://www.douhatsu.co.jp,https://www.instagram.com/douhatsu_official/,1892年創業、焼き物料理が名物、観光客に人気　広東,chinese,平：11:30-15:00/17:00-21:30  　　　　土日祝：11:30-21:30      水休,3,,"restaurant,casual chinese cantone cuisine"
山下公園・中華街,鵬天閣,restaurant,横浜市中区山下町192-15,045-681-9016,houten_info@houtenkaku.com,https://houtenkaku.com/company,,食べ歩き人気店、小籠包・焼き小籠包が名物　点心,chinese,11:00-22:00,2,,"restaurant,casual chinese cantone cuisine"
山下公園・中華街,景徳鎮新館,restaurant,横浜市中区山下町２００－５,045-641-5285,,https://www.keitokuchin.info,,四川料理中華街人気NO1,chinese,11:00-21:30    火休,3,,"restaurant,casual chinese sichuan cuisine  restaurant "
山下公園・中華街,金陵 本店,restaurant,横浜市中区山下町132,045-681-2967,k_i_n_r_y_o@yahoo.co.jp,https://sites.google.com/view/kinryo/,,焼き物と豚バラチャーシューが有名、テイクアウトもあり　広東,chinese,月火水木金祝:17:00-22:45土：14:00-22:45        日祝後日休,3,,"restaurant,takeout xiaolongbao,fried xiaolongbao"
山下公園・中華街,謝朋酒樓,restaurant,横浜市中区山下町188,045-662-9113,,https://syahosyuro.com,,大型店、点心・ランチメニューも豊富、広い客席　広東,chinese,平：11:00-23:00  　　土日祝：10:30-23:00,2,,"restaurant,premium chinese cantone cuisine,large floor"
山下公園・中華街,京華樓 本館,restaurant,横浜市中区山下町138,045-211-2866,u-info@kyokarou.com,https://www.kyokarou.com/,,本場四川の激辛麻婆豆腐、ランチもあり　,chinese,平：11:30-21:30　　　　土日祝：11:00-21:30,2,,"restaurant,casual chinese sichuan cuisine "
山下公園・中華街,悟空茶荘,restaurant,横浜市中区山下町130,045-681-7776,,https://www.goku-teahouse.com/,https://www.instagram.com/gokuchaso/,本格中国茶専門店、茶器も販売、観光客向け,chinese,平：10:30-18:00　　　　　土日：10:30-18:30,1,,"restaurant,china tea cafe"
山下公園・中華街,ボブフロウ,restaurant,横浜市中区山下町25-1上田ビル１F,045-662-1106,,https://hofbrau.owst.jp/,,すぐそこは山下公園♪デートや観光にもぴったり　ドイツ料理,germany,平：11:00-15:00/17:00-23:00  　　　土日祝：11:00-23:00,2,,"restaurant,german westaern cuisine"
山下公園・中華街,SALONE2007,restaurant,横浜市中区山下町36-1 B1F,050-5589-4129,,https://www.salone2007.com,,横浜人気NO1リストランテイタリアン,italian,12:00-15:00/18:00-22:00,5,,"restaurant,lurxury italian cuisine"
山下公園・中華街,THE WHARF HOUSE 山下公園,restaurant,横浜市中区山下町279,045-228-7737,,https://wharfhouse-yokohama.zetton.co.jp,,海を望む開放的空間、軽食・アルコール提供あり　カフェダイニング,grill,＜CAFE＞9:00-17:00                 ＜GRILL＞17:00-22:00,3,,"restaurant,casual grill,cafe"
山下公園・中華街,ホテルニューグランド/ノ・ルマンディ,restaurant,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/restaurant/sg3/,,歴史あるホテルバー、落ち着いた大人向け空間,bar,7:00-10:30/11:45-15:30/17:30-21:00,5,,"restaurant,quiet adult bar"
山下公園・中華街,ホテルニューグランド/イル・ジャルディーノ,restaurant,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/restaurant/sg3/,,日本発祥のナポリタンなどの洋食,western,11:30-16:30/17:00-21:00,4,,"restaurant,classic western cuisine"
山下公園・中華街,ホテルニューグランド/熊魚庵,restaurant,横浜市中区山下町10,045₋663₋6321,,https://www.yugyoan.co.jp/shop/yokohama,,京料理懐石,japanese,7:00-10:00/11:30-14:30/17:00-21:00,5,,"restaurant,luxury quiet japanese restaurant"
山下公園・中華街,ホテルニューグランド/シーガーディアンⅡ,restaurant,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/restaurant/sg3,,歴史あるホテルバー、落ち着いた大人向け空間,bar,17:00-23:00,4,,"restaurant,quiet adult bar"
山下公園・中華街,EAGLE RARE　関内日本大通り店,restaurant,横浜市中区山下町74－6ロクマルビル地下1F,045-577-0108,,,,隠れ家的な場所にあるランチからディナーまでリーズナブルな価格で対応,western,11:30～22:00,4,,"restaurant,casual weatern-style"
山下公園・中華街,ザ・テラス横浜マリンタワー,restaurant,横浜市中区山下町14-1YOKOHAMA MARINE TOWER 4F,050-3091-9510,,https://www.styles.jp/restaurant/theterrace,,本格イタリアンコスパ良し,italian,11:30-15:00/17:00-22:00     月火休,3,,"restaurant,casual italian"
日本大通り,象の鼻カフェ,restaurant,横浜市中区海岸通1丁目,045-680-5677,,https://www.zounohana.com/,https://www.instagram.com/zounohana_cafe/,アートと融合した観光カフェ、海沿いテラスあり,cafe,10:00-18:00　年中無休,1,,"restaurant,casual cafe"
日本大通り,CAFE de la PRESSE,restaurant,横浜市中区日本大通11 情報文化センター2F,045-222-3348,,https://cafedelapresse.jp,https://www.instagram.com/cafe.de.la.presse,新聞社跡地のクラシック空間、フランス軽食が人気,cafe,10:00-20:00　月火休,1,,"restaurant,frence cafe"
日本大通り,ありあけ本館 ハーバーズムーン,restaurant,横浜市中区日本大通36,045-210-9778,,https://harboursmoon.com/,https://www.instagram.com/harboursmoon/,横浜土産「ハーバー」のカフェ併設店、スイーツ充実,western,平:11:00-18:00　ランチ：11:00-14:00　土日祝:11:00-18:30 ,1,,"restaurant,casual western cuisine"
日本大通り,アルテリーベ横浜本店,restaurant,横浜市中区日本大通11 横浜情報文化センター1F,045-210-9407,,https://www.alteliebe.co.jp/,,生演奏付き本格フレンチ、クラシックな空間　,french,11:30-15:00/17:30-22:00　　　　　　　　 月火休,5,,"restaurant,luxury furech cuisine,live classical music"
日本大通り,荒井屋（万国橋店）,restaurant,横浜市中区海岸通4₋23相模ビル１F,045‐226-5003,,https://www.araiya.co.jp,,横浜の老舗牛鍋店,beef,11:00-14:30/17:00-22:00  月休,3,,"restaurant,long-establishedbeaf hotpot"
日本大通り,ミントデリ,restaurant, 神奈川県横浜市中区常盤町２丁目１０ 常盤不動産ビル 1階, 050-5475-7806,,,https://www.instagram.com/mint_deli_yokohama/?igsh=YzVkODRmOTdmMw%3D%3D#,スパイシーなインド料理専門店,indian,11:00-15:00　土日祝休,2,,"restaurant,spicy indian cuisine"
日本大通り,オステリア サーレ エ ペペ,restaurant,横浜市中区南仲通１丁目８−番地 1F, 045-228-9998,,,https://www.facebook.com/people/Osteria-Sale-e-Pepe/100069348715571,席数は13席好きないのでカップル向き,italian,12:00-15:00/17:30-22:00,2,,"restaurant,casual italian,limitedseats,13seats"
日本大通り,アルティザン,restaurant,神奈川県横浜市中区日本大通36 シティタワー横濱2F,045-228-8189,,http://artisan-yokohama.com,,横浜公園近くの職人気質のシェフ,italian,平:11:30-22:00　土日祝:9:00-11:20モーニング/11:00-18:30 ,3,,"restaurant,luxury quiet itlian restaurant"
日本大通り,シチュー＆カリー 横濱KAN,restaurant,横浜市中区南仲通１丁目１４ 三金ビル １０１,045-263-8557,,https://gg89100.gorp.jp,,カジュアルなカレーやシチューなど,indian,平:11:30-15:00/17:00-23:00　土:12:00-15:00/17:22:00 　　　　　　　　 日12:00-16:00　　木休,3,,"restaurant,indian cuisine,curry,stew"
日本大通り,bills 横浜赤レンガ倉庫,restaurant,横浜市中区新港1-1-2 赤レンガ倉庫2号館1F,045-650-1266,info@billsjapan.com,https://billsjapan.com/jp/yokohama,,観光客に人気のパンケーキ・リゾート系空間,hawaiian,月火水木:9:00-22:00金:9:00-23:00 土8:00-23:00 日祝8:00-22:00,2,,"restaurant,luxury morning and lumch western cuisine"
日本大通り,marcys.yokohama,restaurant,横浜市中区日本大通５８ 日本大通ビル 1階 地下1階,045-651-1375,,,https://www.instagram.com/marcys.yokohama/#,ジャンクフードハンバーガー・サンドイッチ,western,11:30-14:00/17:00-22:30      日祝休,3,,"restaurant,junk foods,hamburger,sandoichi"
日本大通り,Le Bouquet Garni（ル ブーケガルニ）,restaurant,横浜市中区本町1－5西田ビルB1階,045-222-3305,,http://lebouquetgarni-yokohama.com,,カジュアルな気取らないフレンチ,french,平土11:30-14:00/17:00-22:00    　　　  日11:30-14:00   月休,3,,"restaurant,casual french"
日本大通り,スカンディヤ ガーデン,restaurant,横浜市中区海岸通1-1,045-201-2262,,https://scandia-yokohama.jp,,横浜港を臨む老舗北欧レストラン、観光立地,nordic,平土：11:00-22:00 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 日:17:00-22:00  水休,4,,"restaurant,premium nordic food cuisine"
日本大通り,サンアロハ,restaurant,横浜市中区海岸通1-1,045-6635-555,,https://storeboard.jp/guest/media/sunaroha,,店内雰囲気からハワイアンを感じさせロコモコ、ポキ、カレーが名物料理,hawaiian,11:30-15:00/17:00-23:00,2,,"restaurant,casual hawaiian cuisine,loco moco,poke bowl"
日本大通り,ジェイハン（Cayhan),restaurant,横浜市中区石川町2－70,050-5494-2663,,https://gh5x800.gorp.jp/?gad_source=1,,トルコ料理/ケバブ,turkiye,11:30-14:30/17:30-21:30,2,,"restaurant,turkish cuisine,kavabu"
日本大通り,UNI COFFEE ROASTERY 横浜日本大通り,restaurant,横浜市中区弁天通1-1 1F,050-3623-3456,,https://unicoffeeroastery.jp/location/nihonodori,,横浜の代表的な西洋式街路である日本大通りちかくに立地します。,cafe,7:30-20:00,1,,"restaurant,casual cafe"
関内,RICE CUISINE　S⊇YA（スーヤ）,restaurant,横浜市中区南仲通1丁目14番 三金ビル2F,,,https://suyainfo.wixsite.com/kitchen, https://www.instagram.com/su_ya_kitchen,米粉を使ったピザや玄米パスタなど、グルテンフリー&ヴィーガンメニューをご用意しており、,vegetarian,11:30 - 14:00/18:00-21:00　火休,1,,"restaurant,vegetarian,gluten-free,vegan cuisine"
関内,カサ・デ・フジモリ,restaurant,横浜市中区相生町２丁目４１,045-662-9474,,https://www.casa-de-fujimori.co.jp,,古風で居心地の良いレストランでパエリア・タパス・ワインなど,spanish,平：11:00-22:30  土：12:00-22:30   日祝：12:00-22:00,2,,"restaurant,spanish cuisine,paella,tapas"
関内,鉄板焼き中田,restaurant,横浜市中区太田町２丁目32−１ ビラ・アペックス横浜関内 2F,045-264-8875,,https://teppan-nakata.co.jp,,横浜・関内で味わえる本格鉄板焼。神戸牛をはじめ、厳選した食材,steak,11:30-14:00/17:00-22:00 日休,4,,"restaurant,steak,teppanyaki cuisine"
関内,"丿貫 福富町本店　へチカン
",restaurant,横浜市中区福富町仲通2-4,045-251-2041,,,,魚介系低カロリーラーメンうり関内地域評判NO1＋ディナー日本酒バーあり,ramen,11:30-15:00/17:00-22:00,2,,"restaurant,low-calorie seafood ramen"
関内,寿司つぐ,restaurant,横浜市中区住吉町５丁目５７−２ TYビル 2F,045-225-9117,,https://www.tablecheck.com/ja/shops/sushi-tsugu,,寿司関内地域評判NO1,sushi,17:00-23:00  月休,5,,"restaurant,famous japanese sushi"
関内,鶏味庵,restaurant,横浜市中区住吉町５‐６４‐１ 石渡ビル１階,045-681-0128,,https://toribiankannai.owst.jp,,焼きとり、釜飯、和食、コースあり,japanese,11:00-14:00/17:00-23:00  日休,2,,"jarestaurant,panese cuisine,yakitori,kamameshi"
関内,炭焼き割烹庵,restaurant,横浜市中区南仲通3-35 エクセレントビルIII,050-5456-9171,,,,日本料理・うなぎ・炭火焼き割烹・和食地域NO１,japanese,月：17:30-22:00  火水木金土：11:30-15:00/17:30-22:00  日休,3,,"restaurant,japanese cuisine,grilled eel,charcoal grill"
